source_type,source_name,platform,fields,description,updated_at
textfsm,show chassis,alcatel_aos,"[{""name"": ""chassis_id"", ""type"": ""str""}, {""name"": ""model_name"", ""type"": ""str""}, {""name"": ""module_type"", ""type"": ""str""}, {""name"": ""description"", ""type"": ""str""}, {""name"": ""part_number"", ""type"": ""str""}, {""name"": ""hardware_revision"", ""type"": ""str""}, {""name"": ""serial_number"", ""type"": ""str""}, {""name"": ""manufacture_date"", ""type"": ""str""}, {""name"": ""admin_status"", ""type"": ""str""}, {""name"": ""operational_status"", ""type"": ""str""}, {""name"": ""number_of_resets"", ""type"": ""str""}, {""name"": ""mac_address"", ""type"": ""str""}]",TextFSM template: alcatel_aos_show_chassis.textfsm,2026-02-27T16:43:55.232384
textfsm,show interfaces alias,alcatel_aos,"[{""name"": ""port"", ""type"": ""str""}, {""name"": ""admin_status"", ""type"": ""str""}, {""name"": ""link_status"", ""type"": ""str""}, {""name"": ""wait_to_restore"", ""type"": ""str""}, {""name"": ""wait_to_shutdown"", ""type"": ""str""}, {""name"": ""alias"", ""type"": ""str""}]",TextFSM template: alcatel_aos_show_interfaces_alias.textfsm,2026-02-27T16:43:55.232384
textfsm,show interfaces ethernet,alcatel_aos,"[{""name"": ""port"", ""type"": ""str""}, {""name"": ""status"", ""type"": ""str""}, {""name"": ""admin_status"", ""type"": ""str""}, {""name"": ""port_down_violation_reason"", ""type"": ""str""}, {""name"": ""last_time_link_changed"", ""type"": ""str""}, {""name"": ""number_of_status_change"", ""type"": ""str""}, {""name"": ""port_type"", ""type"": ""str""}, {""name"": ""sfp_xfp"", ""type"": ""str""}, {""name"": ""interface_type"", ""type"": ""str""}, {""name"": ""ethernet_power_policy"", ""type"": ""str""}, {""name"": ""link_quality"", ""type"": ""str""}, {""name"": ""mac_address"", ""type"": ""str""}, {""name"": ""bandwidth"", ""type"": ""str""}, {""name"": ""duplex"", ""type"": ""str""}, {""name"": ""autonegotiation"", ""type"": ""str""}, {""name"": ""long_frame_size"", ""type"": ""str""}, {""name"": ""inter_frame_gap"", ""type"": ""str""}, {""name"": ""loopback_mode"", ""type"": ""str""}, {""name"": ""rx_bytes_received"", ""type"": ""str""}, {""name"": ""rx_broadcast_frames"", ""type"": ""str""}, {""name"": ""rx_undersize_frames"", ""type"": ""str""}, {""name"": ""rx_lost_frames"", ""type"": ""str""}, {""name"": ""rx_crc_error_frames"", ""type"": ""str""}, {""name"": ""rx_unicast_frames"", ""type"": ""str""}, {""name"": ""rx_multicast_frames"", ""type"": ""str""}, {""name"": ""rx_oversize_frames"", ""type"": ""str""}, {""name"": ""rx_error_frames"", ""type"": ""str""}, {""name"": ""rx_alignment_errors"", ""type"": ""str""}, {""name"": ""tx_bytes_transmitted"", ""type"": ""str""}, {""name"": ""tx_broadcast_frames"", ""type"": ""str""}, {""name"": ""tx_undersize_frames"", ""type"": ""str""}, {""name"": ""tx_lost_frames"", ""type"": ""str""}, {""name"": ""tx_error_frames"", ""type"": ""str""}, {""name"": ""tx_unicast_frames"", ""type"": ""str""}, {""name"": ""tx_multicast_frames"", ""type"": ""str""}, {""name"": ""tx_oversize_frames"", ""type"": ""str""}, {""name"": ""tx_collided_frames"", ""type"": ""str""}, {""name"": ""tx_collisions"", ""type"": ""str""}, {""name"": ""tx_late_collisions"", ""type"": ""str""}, {""name"": ""tx_excessive_collisions"", ""type"": ""str""}]",TextFSM template: alcatel_aos_show_interfaces_ethernet.textfsm,2026-02-27T16:43:55.232384
textfsm,show interfaces port,alcatel_aos,"[{""name"": ""port"", ""type"": ""str""}, {""name"": ""permanent_shutdown"", ""type"": ""str""}, {""name"": ""admin_status"", ""type"": ""str""}, {""name"": ""link_status"", ""type"": ""str""}, {""name"": ""violations"", ""type"": ""str""}, {""name"": ""recovery_time"", ""type"": ""str""}, {""name"": ""recovery_max"", ""type"": ""str""}, {""name"": ""wtr_running"", ""type"": ""str""}, {""name"": ""wtr_time"", ""type"": ""str""}, {""name"": ""wait_to_shutdown"", ""type"": ""str""}, {""name"": ""alias"", ""type"": ""str""}]",TextFSM template: alcatel_aos_show_interfaces_port.textfsm,2026-02-27T16:43:55.232384
textfsm,show interfaces status,alcatel_aos,"[{""name"": ""port"", ""type"": ""str""}, {""name"": ""admin_status"", ""type"": ""str""}, {""name"": ""auto_negotiation"", ""type"": ""str""}, {""name"": ""detected_speed"", ""type"": ""str""}, {""name"": ""detected_duplex"", ""type"": ""str""}, {""name"": ""detected_hybrid"", ""type"": ""str""}, {""name"": ""detected_pause"", ""type"": ""str""}, {""name"": ""detected_fec"", ""type"": ""str""}, {""name"": ""configured_speed"", ""type"": ""str""}, {""name"": ""configured_duplex"", ""type"": ""str""}, {""name"": ""configured_hybrid"", ""type"": ""str""}, {""name"": ""configured_pause"", ""type"": ""str""}, {""name"": ""configured_fec"", ""type"": ""str""}, {""name"": ""link_trap"", ""type"": ""str""}, {""name"": ""energy_efficient_ethernet"", ""type"": ""str""}]",TextFSM template: alcatel_aos_show_interfaces_status.textfsm,2026-02-27T16:43:55.232384
textfsm,show linkagg alias,alcatel_aos,"[{""name"": ""number"", ""type"": ""str""}, {""name"": ""aggregate"", ""type"": ""str""}, {""name"": ""size"", ""type"": ""str""}, {""name"": ""admin_state"", ""type"": ""str""}, {""name"": ""operational_state"", ""type"": ""str""}, {""name"": ""n_attached_ports"", ""type"": ""str""}, {""name"": ""n_possible_ports"", ""type"": ""str""}, {""name"": ""name"", ""type"": ""str""}]",TextFSM template: alcatel_aos_show_linkagg_alias.textfsm,2026-02-27T16:43:55.232384
textfsm,show linkagg port,alcatel_aos,"[{""name"": ""interface"", ""type"": ""str""}, {""name"": ""aggregate_type"", ""type"": ""str""}, {""name"": ""snmp_id"", ""type"": ""str""}, {""name"": ""status"", ""type"": ""str""}, {""name"": ""aggregate"", ""type"": ""str""}, {""name"": ""operational_status"", ""type"": ""str""}, {""name"": ""link_status"", ""type"": ""str""}, {""name"": ""primary"", ""type"": ""str""}]",TextFSM template: alcatel_aos_show_linkagg_port.textfsm,2026-02-27T16:43:55.232384
textfsm,show lldp remote-system,alcatel_aos,"[{""name"": ""local_interface"", ""type"": ""str""}, {""name"": ""chassis_id"", ""type"": ""str""}, {""name"": ""mac_address"", ""type"": ""str""}, {""name"": ""remote_id"", ""type"": ""str""}, {""name"": ""chassis_subtype"", ""type"": ""str""}, {""name"": ""port_subtype"", ""type"": ""str""}, {""name"": ""neighbor_interface"", ""type"": ""str""}, {""name"": ""neighbor_name"", ""type"": ""str""}, {""name"": ""neighbor_description"", ""type"": ""str""}, {""name"": ""capabilities_supported"", ""type"": ""str""}, {""name"": ""capabilities_enabled"", ""type"": ""str""}, {""name"": ""mgmt_address"", ""type"": ""str""}, {""name"": ""med_device_type"", ""type"": ""str""}, {""name"": ""med_capabilities"", ""type"": ""str""}, {""name"": ""med_extension_tlvs_present"", ""type"": ""str""}, {""name"": ""power_device_type"", ""type"": ""str""}, {""name"": ""power_source"", ""type"": ""str""}, {""name"": ""power_priority"", ""type"": ""str""}, {""name"": ""power_requested"", ""type"": ""str""}, {""name"": ""remote_port_mac_phy_autoneg"", ""type"": ""str""}, {""name"": ""vlan_id"", ""type"": ""str""}, {""name"": ""protocol_vlan_id"", ""type"": ""str""}, {""name"": ""vlan_name"", ""type"": ""str""}, {""name"": ""mau_type"", ""type"": ""str""}]",TextFSM template: alcatel_aos_show_lldp_remote-system.textfsm,2026-02-27T16:43:55.232384
textfsm,show mac-address-table,alcatel_aos,"[{""name"": ""vlan_id"", ""type"": ""str""}, {""name"": ""address_not_valid"", ""type"": ""str""}, {""name"": ""domain"", ""type"": ""str""}, {""name"": ""mac"", ""type"": ""str""}, {""name"": ""type"", ""type"": ""str""}, {""name"": ""protocol"", ""type"": ""str""}, {""name"": ""operation"", ""type"": ""str""}, {""name"": ""interface"", ""type"": ""str""}]",TextFSM template: alcatel_aos_show_mac-address-table.textfsm,2026-02-27T16:43:55.232384
textfsm,show port-security,alcatel_aos,"[{""name"": ""port"", ""type"": ""str""}, {""name"": ""operation_mode"", ""type"": ""str""}, {""name"": ""admin_state"", ""type"": ""str""}, {""name"": ""max_mac_bridged"", ""type"": ""str""}, {""name"": ""trap_threshold"", ""type"": ""str""}, {""name"": ""max_mac_filtered"", ""type"": ""str""}, {""name"": ""violation_type"", ""type"": ""str""}, {""name"": ""violation_mac"", ""type"": ""str""}, {""name"": ""pkt_relay"", ""type"": ""str""}]",TextFSM template: alcatel_aos_show_port-security.textfsm,2026-02-27T16:43:55.232384
