platform,cmd_count
arista_eos,46
aruba_os,10
avaya_vsp,1
ciena_saos,12
cisco_ftd,1
cisco_nxos,79
cisco_viptela,2
dell_force10,5
huawei_ont,26
juniper_screenos,1
linux_iwlist,1
zte_zxros,6
alcatel_aos,13
cisco_xr,62
eltex_show,8
linux_dmidecode,4
linux_ip,4
linux_vzlist,1
broadcom_icos,5
cisco_apic,1
cisco_s300,10
cisco_wlc,28
dlink_ds,1
edgecore_show,7
hp_comware,17
huawei_smartax,35
juniper_junos,20
watchguard_firebox,1
cisco_ios,135
allied_telesis,10
avaya_ers,7
extreme_exos,8
fortinet_get,11
huawei_vrp,38
linux_pct,2
vmware_nsxv,2
alcatel_sros,26
brocade_fastiron,14
checkpoint_gaia,12
cisco_nvfis,11
fortinet_fnsysctl,1
zyxel_os,14
aruba_aoscx,14
cisco_fxos,1
linux_arp,1
linux_iwconfig,1
ubiquiti_edgeswitch,3
cisco_asa,43
fortinet_execute,6
linux_nmcli,1
linux_pveversion,1
linux_qm,2
linux_top,1
paloalto_panos,14
bogus_for,1
brocade_netiron,10
dell_powerconnect,3
ericsson_ipos,3
extreme_slxos,2
fortinet_diagnose,2
fsas_sir,5
hp_procurve,15
ipinfusion_ocnos,1
mikrotik_routeros,42
oneaccess_oneos,47
ruckus_fastiron,7
ubiquiti_edgerouter,10
vyatta_vyos,3
yamaha_show,2
