command_name,category
show running-config,configs
show running-config partition access-list,configs
dir,general
show ip dhcp binding,general
show vrf,general
show access-session,general
show adjacency,general
show logging,general
show aliases,general
show vrf detail,general
show ap summary,general
show archive,general
show arp,general
show authentication sessions,general
show authentication sessions method details,general
show vrrp all,general
show boot,general
show vrrp brief,general
show vtp status,general
ping,general
show controller t1,general
show crypto ipsec sa detail,general
show crypto pki certificates,general
show crypto session detail,general
show cts credentials,general
show cts pacs,general
show dhcp lease,general
show dmvpn,general
show dot1x all,general
show environment power all,general
show environment temperature,general
show etherchannel summary,general
show file systems,general
show hosts summary,general
show module online diag,general
show ip prefix-list,general
show module status,general
show module submodule,general
show ip source binding,general
show snmp community,general
show snmp group,general
show stack-power,general
show ip arp,general
show standby,general
show nve peers,general
show nve vni,general
show object-group,general
show standby brief,general
show ip cef,general
show ip cef detail,general
show ip device tracking all,general
show rep topology,general
show ip dhcp snooping binding,general
show switch detail,general
show isdn status,general
show power available,general
show power inline,general
show ip flow toptalkers,general
show ip http server status,general
show power status,general
show switch virtual,general
show power supplies,general
show ip nat translations,general
show power used,general
show tacacs,general
show redundancy,general
show module,general
show alert counters,interfaces
show interface link,interfaces
show interface transceiver,interfaces
show interfaces,interfaces
show interfaces status,interfaces
show mpls interfaces,interfaces
show interfaces switchport,interfaces
show ip vrf interfaces,interfaces
show mpls l2transport vc,interfaces
show ipv6 interface brief,interfaces
show switch detail stack ports,interfaces
show port-security interface interface,interfaces
show ip interface,interfaces
show ip interface brief,interfaces
show processes cpu,performance
show processes memory sorted,performance
show route-map,routing
show ip mroute,routing
show capability feature routing,routing
show running-config partition route-map,routing
show ip ospf neighbor detail,routing
show ip route,routing
show interfaces description,routing
show ip ospf neighbor,routing
show ip bgp,routing
show ip bgp neighbors,routing
show ip bgp neighbors advertised-routes,routing
show ip bgp summary,routing
show ip bgp vpnv4 all neighbors,routing
show ip eigrp interfaces detail,routing
show ip eigrp neighbors,routing
show ipv6 route,routing
show ip eigrp neighbors detail,routing
show ip eigrp topology,routing
show isis neighbors,routing
show ip ospf interface brief,routing
show ip ospf database,routing
show ip ospf database network,routing
show ip ospf database router,routing
traceroute,routing
show ip route summary,routing
show access-list,security
show ipv6 access-lists,security
show ip access-lists,security
show snmp user,security
show wireless tag policy summary,security
show policy-map,security
show users,security
show mac-address-table,switching
show spanning-tree,switching
show spanning-tree root,switching
show vlan,switching
show vlan group,switching
show vlans,switching
show clock,system
show inventory,system
show platform,system
show platform diag,system
show license,system
show license status,system
show version,system
show lldp neighbors detail,topology
show ap cdp neighbors,topology
show bfd neighbors details,topology
show cdp neighbors,topology
show cdp neighbors detail,topology
show ipv6 neighbors,topology
show lldp neighbors,topology
