command_count,platform
46,arista_eos
10,aruba_os
1,avaya_vsp
12,ciena_saos
1,cisco_ftd
79,cisco_nxos
2,cisco_viptela
5,dell_force10
26,huawei_ont
1,juniper_screenos
1,linux_iwlist
6,zte_zxros
43,cisco_asa
6,fortinet_execute
1,linux_nmcli
1,linux_pveversion
2,linux_qm
1,linux_top
14,paloalto_panos
26,alcatel_sros
14,brocade_fastiron
12,checkpoint_gaia
11,cisco_nvfis
1,fortinet_fnsysctl
14,zyxel_os
14,aruba_aoscx
1,cisco_fxos
1,linux_arp
1,linux_iwconfig
3,ubiquiti_edgeswitch
5,broadcom_icos
1,cisco_apic
10,cisco_s300
28,cisco_wlc
1,dlink_ds
7,edgecore_show
17,hp_comware
35,huawei_smartax
20,juniper_junos
1,watchguard_firebox
135,cisco_ios
10,allied_telesis
7,avaya_ers
8,extreme_exos
11,fortinet_get
38,huawei_vrp
2,linux_pct
2,vmware_nsxv
1,bogus_for
10,brocade_netiron
3,dell_powerconnect
3,ericsson_ipos
2,extreme_slxos
2,fortinet_diagnose
5,fsas_sir
15,hp_procurve
1,ipinfusion_ocnos
42,mikrotik_routeros
47,oneaccess_oneos
7,ruckus_fastiron
10,ubiquiti_edgerouter
3,vyatta_vyos
2,yamaha_show
13,alcatel_aos
62,cisco_xr
8,eltex_show
4,linux_dmidecode
4,linux_ip
1,linux_vzlist
