command_name,platform
show chassis,alcatel_aos
show interfaces alias,alcatel_aos
show interfaces ethernet,alcatel_aos
show interfaces port,alcatel_aos
show interfaces status,alcatel_aos
show linkagg alias,alcatel_aos
show linkagg port,alcatel_aos
show lldp remote-system,alcatel_aos
show mac-address-table,alcatel_aos
show port-security,alcatel_aos
show system,alcatel_aos
show vlan,alcatel_aos
show vlan port,alcatel_aos
oam mac-ping,alcatel_sros
ping,alcatel_sros
show lag,alcatel_sros
show lag port,alcatel_sros
show port,alcatel_sros
show port description,alcatel_sros
show router bgp routes vpn-ipv4,alcatel_sros
show router bgp summary family,alcatel_sros
show router interface,alcatel_sros
show router isis adjacency,alcatel_sros
show router isis interface,alcatel_sros
show router ldp interface,alcatel_sros
show router mpls interface,alcatel_sros
show router mpls lsp,alcatel_sros
show router ospf interface,alcatel_sros
show router pim interface,alcatel_sros
show router rsvp interface,alcatel_sros
show service id 0 sap,alcatel_sros
show service id base,alcatel_sros
show service id interface,alcatel_sros
show service sap-using,alcatel_sros
show service sdp,alcatel_sros
show service sdp-using,alcatel_sros
show service service-name-using,alcatel_sros
show service service-using,alcatel_sros
show system cpu,alcatel_sros
awplus show arp,allied_telesis
awplus show etherchannel summary,allied_telesis
awplus show interface,allied_telesis
awplus show interface switchport,allied_telesis
awplus show ip route,allied_telesis
awplus show lldp neighbors detail,allied_telesis
awplus show mac address-table,allied_telesis
awplus show static-channel-group,allied_telesis
awplus show system,allied_telesis
awplus show vlan all,allied_telesis
bash df -h,arista_eos
dir,arista_eos
show boot-config,arista_eos
show clock,arista_eos
show environment cooling,arista_eos
show environment power,arista_eos
show environment temperature,arista_eos
show hostname,arista_eos
show interfaces,arista_eos
show interfaces description,arista_eos
show interfaces status,arista_eos
show interfaces transceiver,arista_eos
show interfaces transceiver detail,arista_eos
show inventory,arista_eos
show ip access-lists,arista_eos
show ip arp,arista_eos
show ip bgp,arista_eos
show ip bgp detail,arista_eos
show ip bgp summary,arista_eos
show ip helper-address,arista_eos
show ip interface brief,arista_eos
show ip mroute vrf all detail,arista_eos
show ip ospf database,arista_eos
show ip ospf interface brief,arista_eos
show ip ospf neighbor,arista_eos
show ip ospf summary,arista_eos
show ip route,arista_eos
show ipv6 bgp summary,arista_eos
show isis neighbors,arista_eos
show lldp neighbors,arista_eos
show lldp neighbors detail,arista_eos
show mac address-table,arista_eos
show mac security interface,arista_eos
show mac security mka counters,arista_eos
show mac security participants detail,arista_eos
show mlag,arista_eos
show module,arista_eos
show pim ipv4 interface,arista_eos
show pim ipv4 neighbor,arista_eos
show port-channel summary,arista_eos
show processes top once,arista_eos
show reload cause,arista_eos
show snmp community,arista_eos
show version,arista_eos
show vlan,arista_eos
show vrf,arista_eos
show aaa authentication port-access interface all client-status,aruba_aoscx
show arp all-vrfs,aruba_aoscx
show bfd all-vrfs,aruba_aoscx
