command_name,platform,category,template_path,has_template,allowed,blacklisted,pipe_allowed,updated_at
show running-config,cisco_ios,configs,/home/yhvh/Olav/.olav/templates/cisco_ios_show_running-config.textfsm,True,True,False,False,2026-02-27T17:04:25.181849
show running config,cisco_ios,configs,/home/yhvh/Olav/.olav/templates/cisco_ios_show_running_config.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show running-config partition access-list,cisco_ios,configs,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_running-config_partition_access-list.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
dir,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_dir.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip dhcp binding,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_dhcp_binding.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show vrf,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_vrf.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show access-session,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_access-session.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show adjacency,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_adjacency.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show logging,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_logging.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show aliases,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_aliases.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show vrf detail,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_vrf_detail.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ap summary,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ap_summary.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show archive,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_archive.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show arp,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_arp.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show authentication sessions,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_authentication_sessions.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show authentication sessions method details,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_authentication_sessions_method_details.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show vrrp all,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_vrrp_all.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show boot,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_boot.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show vrrp brief,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_vrrp_brief.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show vtp status,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_vtp_status.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
ping,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_ping.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show controller t1,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_controller_t1.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show crypto ipsec sa detail,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_crypto_ipsec_sa_detail.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show crypto pki certificates,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_crypto_pki_certificates.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show crypto session detail,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_crypto_session_detail.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show cts credentials,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_cts_credentials.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
