command_name,category,has_template,pipe_allowed
show running config,configs,True,False
show running-config,configs,True,False
show running-config partition access-list,configs,True,False
dir,general,True,False
ping,general,True,False
show access-session,general,True,False
show adjacency,general,True,False
show aliases,general,True,False
show ap summary,general,True,False
show archive,general,True,False
show arp,general,True,False
show authentication sessions,general,True,False
show authentication sessions method details,general,True,False
show boot,general,True,False
show controller t1,general,True,False
show crypto ipsec sa detail,general,True,False
show crypto pki certificates,general,True,False
show crypto session detail,general,True,False
show cts credentials,general,True,False
show cts pacs,general,True,False
show dhcp lease,general,True,False
show dmvpn,general,True,False
show dot1x all,general,True,False
show environment power all,general,True,False
show environment temperature,general,True,False
show etherchannel summary,general,True,False
show file systems,general,True,False
show hosts summary,general,True,False
show ip arp,general,True,False
show ip cef,general,True,False
show ip cef detail,general,True,False
show ip device tracking all,general,True,False
show ip dhcp binding,general,True,False
show ip dhcp snooping binding,general,True,False
show ip flow toptalkers,general,True,False
show ip http server status,general,True,False
show ip nat translations,general,True,False
show ip prefix-list,general,True,False
show ip source binding,general,True,False
show isdn status,general,True,False
show logging,general,True,False
show module,general,True,False
show module online diag,general,True,False
show module status,general,True,False
show module submodule,general,True,False
show nve peers,general,True,False
show nve vni,general,True,False
show object-group,general,True,False
show power available,general,True,False
show power inline,general,True,False
show power status,general,True,False
show power supplies,general,True,False
show power used,general,True,False
show redundancy,general,True,False
show rep topology,general,True,False
show snmp community,general,True,False
show snmp group,general,True,False
show stack-power,general,True,False
show standby,general,True,False
show standby brief,general,True,False
show switch detail,general,True,False
show switch virtual,general,True,False
show tacacs,general,True,False
show vrf,general,True,False
show vrf detail,general,True,False
show vrrp all,general,True,False
show vrrp brief,general,True,False
show vtp status,general,True,False
show alert counters,interfaces,True,False
show interface link,interfaces,True,False
show interface transceiver,interfaces,True,False
show interfaces,interfaces,True,False
show interfaces status,interfaces,True,False
show interfaces switchport,interfaces,True,False
show ip interface,interfaces,True,False
show ip interface brief,interfaces,True,False
show ip vrf interfaces,interfaces,True,False
show ipv6 interface brief,interfaces,True,False
show mpls interfaces,interfaces,True,False
show mpls l2transport vc,interfaces,True,False
show port-security interface interface,interfaces,True,False
show switch detail stack ports,interfaces,True,False
show processes cpu,performance,True,False
show processes memory sorted,performance,True,False
show capability feature routing,routing,True,False
show interfaces description,routing,True,False
show ip bgp,routing,True,False
show ip bgp neighbors,routing,True,False
show ip bgp neighbors advertised-routes,routing,True,False
show ip bgp summary,routing,True,False
show ip bgp vpnv4 all neighbors,routing,True,False
show ip eigrp interfaces detail,routing,True,False
show ip eigrp neighbors,routing,True,False
show ip eigrp neighbors detail,routing,True,False
show ip eigrp topology,routing,True,False
show ip mroute,routing,True,False
show ip ospf database,routing,True,False
show ip ospf database network,routing,True,False
show ip ospf database router,routing,True,False
show ip ospf interface brief,routing,True,False
show ip ospf neighbor,routing,True,False
show ip ospf neighbor detail,routing,True,False
show ip route,routing,True,False
show ip route summary,routing,True,False
show ipv6 route,routing,True,False
show isis neighbors,routing,True,False
show route-map,routing,True,False
show running-config partition route-map,routing,True,False
traceroute,routing,True,False
show access-list,security,True,False
show ip access-lists,security,True,False
show ipv6 access-lists,security,True,False
show policy-map,security,True,False
show snmp user,security,True,False
show users,security,True,False
show wireless tag policy summary,security,True,False
show mac-address-table,switching,True,False
show spanning-tree,switching,True,False
show spanning-tree root,switching,True,False
show vlan,switching,True,False
show vlan group,switching,True,False
show vlans,switching,True,False
show clock,system,True,False
show inventory,system,True,False
show license,system,True,False
show license status,system,True,False
show platform,system,True,False
show platform diag,system,True,False
show version,system,True,False
show ap cdp neighbors,topology,True,False
show bfd neighbors details,topology,True,False
show cdp neighbors,topology,True,False
show cdp neighbors detail,topology,True,False
show ipv6 neighbors,topology,True,False
show lldp neighbors,topology,True,False
show lldp neighbors detail,topology,True,False
