hostname,neighbor,neighbor_id,state,dead_time,interface,priority
R1,10.1.13.3,3.3.3.3,Full,35,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,36,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,36,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,31,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,31,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,34,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,31,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,36,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,31,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,31,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,39,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,37,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,34,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,33,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,38,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,34,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,39,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,33,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,33,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,32,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,32,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,33,ge-0/0/2.0,1
R1,10.1.13.3,3.3.3.3,Full,38,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,37,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,38,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,30,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,36,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,38,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,38,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,35,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,36,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,36,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,33,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,31,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,38,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,32,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,31,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,36,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,36,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,37,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,35,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,34,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,38,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,33,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,37,ge-0/0/2.0,1
R2,10.1.24.4,4.4.4.4,Full,39,ge-0/0/2.0,1
R3,10.1.13.1,1.1.1.1,FULL/DR,00:00:38,Ethernet0/0,128
R3,10.1.13.1,1.1.1.1,FULL/DR,00:00:36,Ethernet0/0,128
R3,10.1.13.1,1.1.1.1,FULL/DR,00:00:32,Ethernet0/0,128
R3,10.1.13.1,1.1.1.1,FULL/DR,00:00:35,Ethernet0/0,128
R3,10.1.13.1,1.1.1.1,FULL/DR,00:00:34,Ethernet0/0,128
R3,10.1.13.1,1.1.1.1,FULL/DR,00:00:32,Ethernet0/0,128
R3,10.1.13.1,1.1.1.1,FULL/DR,00:00:36,Ethernet0/0,128
R3,10.1.13.1,1.1.1.1,FULL/DR,00:00:34,Ethernet0/0,128
R3,10.1.13.1,1.1.1.1,FULL/DR,00:00:35,Ethernet0/0,128
R3,10.1.13.1,1.1.1.1,FULL/DR,00:00:30,Ethernet0/0,128
R3,,1.1.1.1,FULL/DR,00:00:37,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:38,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:33,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:36,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:39,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:36,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:37,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:34,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:37,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:33,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:37,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:39,Ethernet0/0,
R3,,1.1.1.1,FULL/DR,00:00:37,Ethernet0/0,
R4,10.1.24.2,2.2.2.2,FULL/DR,00:00:34,Ethernet0/0,128
R4,10.1.24.2,2.2.2.2,FULL/DR,00:00:33,Ethernet0/0,128
R4,10.1.24.2,2.2.2.2,FULL/DR,00:00:35,Ethernet0/0,128
R4,10.1.24.2,2.2.2.2,FULL/DR,00:00:37,Ethernet0/0,128
R4,10.1.24.2,2.2.2.2,FULL/DR,00:00:31,Ethernet0/0,128
R4,10.1.24.2,2.2.2.2,FULL/DR,00:00:34,Ethernet0/0,128
R4,10.1.24.2,2.2.2.2,FULL/DR,00:00:34,Ethernet0/0,128
R4,10.1.24.2,2.2.2.2,FULL/DR,00:00:37,Ethernet0/0,128
R4,10.1.24.2,2.2.2.2,FULL/DR,00:00:31,Ethernet0/0,128
R4,10.1.24.2,2.2.2.2,FULL/DR,00:00:35,Ethernet0/0,128
R4,,2.2.2.2,FULL/DR,00:00:37,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:35,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:39,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:35,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:33,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:39,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:39,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:39,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:37,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:32,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:38,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:39,Ethernet0/0,
R4,,2.2.2.2,FULL/DR,00:00:39,Ethernet0/0,
