device_name,neighbor_id,neighbor_ip,interface,state,priority,dead_time,snapshot_id,created_at
R2,4.4.4.4,10.1.24.4,ge-0/0/2.0,Full,1,30,2026-03-02_1829,2026-03-05T19:22:21.323077
R2,4.4.4.4,10.1.24.4,ge-0/0/2.0,Full,1,36,2026-03-02_2133,2026-03-05T19:22:21.323077
R2,4.4.4.4,10.1.24.4,ge-0/0/2.0,Full,1,37,2026-03-02_2246,2026-03-05T19:22:21.323077
R3,1.1.1.1,10.1.13.1,Ethernet0/0,FULL/DR,128,00:00:35,2026-03-02_1810,2026-03-05T19:22:21.323077
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,31,2026-03-03_1940,2026-03-05T19:22:21.323077
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:31,2026-03-04_1109,2026-03-05T19:22:21.323077
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,31,2026-03-05_1627,2026-03-05T19:22:21.323077
R2,4.4.4.4,10.1.24.4,ge-0/0/2.0,Full,1,36,2026-03-03_2009,2026-03-05T19:22:21.323077
R3,1.1.1.1,,Ethernet0/0,FULL/DR,,00:00:37,2026-03-03_1754,2026-03-05T19:22:21.323077
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:39,2026-03-03_1944,2026-03-05T19:22:21.323077
R3,1.1.1.1,,Ethernet0/0,FULL/DR,,00:00:36,2026-03-02_2038,2026-03-05T19:22:21.323077
R3,1.1.1.1,10.1.13.1,Ethernet0/0,FULL/DR,128,00:00:38,2026-03-05_1559,2026-03-05T19:22:21.323077
R3,1.1.1.1,10.1.13.1,Ethernet0/0,FULL/DR,128,00:00:30,2026-03-02_1717,2026-03-05T19:22:21.323077
R2,4.4.4.4,10.1.24.4,ge-0/0/2.0,Full,1,34,2026-03-03_1951,2026-03-05T19:22:21.323077
R3,1.1.1.1,10.1.13.1,Ethernet0/0,FULL/DR,128,00:00:32,2026-03-05_1615,2026-03-05T19:22:21.323077
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,34,2026-03-02_1652,2026-03-05T19:22:21.323077
R2,4.4.4.4,10.1.24.4,ge-0/0/2.0,Full,1,38,2026-03-03_1746,2026-03-05T19:22:21.323077
R2,4.4.4.4,10.1.24.4,ge-0/0/2.0,Full,1,39,2026-03-05_1918,2026-03-05T19:22:21.323077
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:39,2026-03-02_2127,2026-03-05T19:22:21.323077
R3,1.1.1.1,,Ethernet0/0,FULL/DR,,00:00:37,2026-03-02_2110,2026-03-05T19:22:21.323077
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:35,2026-03-04_1124,2026-03-05T19:22:21.323077
R2,4.4.4.4,10.1.24.4,ge-0/0/2.0,Full,1,38,2026-03-03_1751,2026-03-05T19:22:21.323077
R2,4.4.4.4,10.1.24.4,ge-0/0/2.0,Full,1,35,2026-03-04_1115,2026-03-05T19:22:21.323077
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:35,2026-03-02_2133,2026-03-05T19:22:21.323077
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,33,2026-03-02_2038,2026-03-05T19:22:21.323077
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:39,2026-03-02_2246,2026-03-05T19:22:21.323077
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:35,2026-03-03_2009,2026-03-05T19:22:21.323077
R2,4.4.4.4,10.1.24.4,ge-0/0/2.0,Full,1,31,2026-03-04_1109,2026-03-05T19:22:21.323077
R3,1.1.1.1,10.1.13.1,Ethernet0/0,FULL/DR,128,00:00:35,2026-03-02_1652,2026-03-05T19:22:21.323077
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,38,2026-03-02_2110,2026-03-05T19:22:21.323077
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,35,2026-03-05_1615,2026-03-05T19:22:21.323077
