device_name,interface,ip_address,admin_status,line_status
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Loopback99,172.31.99.1,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Loopback99,172.31.99.1,up,up
R3,Vlan10,192.168.10.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Loopback99,172.31.99.1,up,up
R4,Vlan20,192.168.20.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Loopback99,172.31.99.1,up,up
R4,Vlan20,192.168.20.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R4,Ethernet0/0,10.1.24.4,up,up
R4,Ethernet0/1,,up,up
R4,Ethernet0/2,,up,up
R4,Ethernet0/3,192.168.100.104,up,up
R4,Loopback0,4.4.4.4,up,up
R4,Vlan20,192.168.20.254,up,up
R3,Ethernet0/0,10.1.13.3,up,up
R3,Ethernet0/1,,up,up
R3,Ethernet0/2,,up,up
R3,Ethernet0/3,192.168.100.103,up,up
R3,Loopback0,3.3.3.3,up,up
R3,Vlan10,192.168.10.254,up,up
