hostname,neighbor_id,neighbor_ip,interface,state,priority,dead_time,snapshot_id
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,34,2026-03-02_2133
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,34,2026-03-03_1751
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,38,2026-03-02_1829
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,38,2026-03-06_0931
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,31,2026-03-03_1940
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,37,2026-03-02_2246
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,31,2026-03-05_1627
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,33,2026-03-03_2009
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,39,2026-03-04_1124
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,31,2026-03-06_0246
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,39,2026-03-03_1951
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,36,2026-03-04_1115
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,33,2026-03-03_1754
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,31,2026-03-02_2127
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,36,2026-03-03_1746
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,34,2026-03-02_1652
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,31,2026-03-04_1109
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,33,2026-03-02_1717
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,31,2026-03-05_1918
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,33,2026-03-02_2038
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,32,2026-03-05_1559
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,35,2026-03-05_1615
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,38,2026-03-02_2110
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,36,2026-03-03_1944
R1,3.3.3.3,10.1.13.3,ge-0/0/2.0,Full,1,32,2026-03-02_1810
