device_name,interface,ip_address,admin_status,line_status,snapshot_id
R3,Et0/0,,,connected,2026-03-06_0931
R3,Et0/0,,up,up,2026-03-06_0931
R3,Et0/1,,,connected,2026-03-06_0931
R3,Et0/1,,up,up,2026-03-06_0931
R3,Et0/2,,,connected,2026-03-06_0931
R3,Et0/2,,up,up,2026-03-06_0931
R3,Et0/3,,,connected,2026-03-06_0931
R3,Et0/3,,up,up,2026-03-06_0931
R3,Ethernet0/0,,up,up,2026-03-06_0931
R3,Ethernet0/1,unassigned,up,up,2026-03-06_0931
R3,Ethernet0/1,,up,up,2026-03-06_0931
R3,Ethernet0/2,unassigned,up,up,2026-03-06_0931
R3,Ethernet0/2,,up,up,2026-03-06_0931
R3,Ethernet0/3,,up,up,2026-03-06_0931
R3,Lo0,,up,up,2026-03-06_0931
R3,Loopback0,,up,up,2026-03-06_0931
R3,Vl10,,up,up,2026-03-06_0931
R3,Vlan10,,up,up,2026-03-06_0931
R4,Et0/0,,up,up,2026-03-06_0931
R4,Et0/0,,,connected,2026-03-06_0931
R4,Et0/1,,,connected,2026-03-06_0931
R4,Et0/1,,up,up,2026-03-06_0931
R4,Et0/2,,up,up,2026-03-06_0931
R4,Et0/2,,,connected,2026-03-06_0931
R4,Et0/3,,up,up,2026-03-06_0931
R4,Et0/3,,,connected,2026-03-06_0931
R4,Ethernet0/0,,up,up,2026-03-06_0931
R4,Ethernet0/1,,up,up,2026-03-06_0931
R4,Ethernet0/1,unassigned,up,up,2026-03-06_0931
R4,Ethernet0/2,unassigned,up,up,2026-03-06_0931
R4,Ethernet0/2,,up,up,2026-03-06_0931
R4,Ethernet0/3,,up,up,2026-03-06_0931
R4,Lo0,,up,up,2026-03-06_0931
R4,Loopback0,,up,up,2026-03-06_0931
R4,Vl20,,up,up,2026-03-06_0931
R4,Vlan20,,up,up,2026-03-06_0931
SW1,Et0/0,,,connected,2026-03-06_0931
SW1,Et0/0,,up,up,2026-03-06_0931
SW1,Et0/1,,,connected,2026-03-06_0931
SW1,Et0/1,,up,up,2026-03-06_0931
SW1,Et0/2,,up,up,2026-03-06_0931
SW1,Et0/2,,,connected,2026-03-06_0931
SW1,Et0/3,,,connected,2026-03-06_0931
SW1,Et0/3,,up,up,2026-03-06_0931
SW1,Ethernet0/0,,up,up,2026-03-06_0931
SW1,Ethernet0/0,unassigned,up,up,2026-03-06_0931
SW1,Ethernet0/1,,up,up,2026-03-06_0931
SW1,Ethernet0/1,unassigned,up,up,2026-03-06_0931
SW1,Ethernet0/2,unassigned,up,up,2026-03-06_0931
SW1,Ethernet0/2,,up,up,2026-03-06_0931
SW1,Ethernet0/3,,up,up,2026-03-06_0931
SW2,Et0/0,,up,up,2026-03-06_0931
SW2,Et0/0,,,connected,2026-03-06_0931
SW2,Et0/1,,up,up,2026-03-06_0931
SW2,Et0/1,,,connected,2026-03-06_0931
SW2,Et0/2,,up,up,2026-03-06_0931
SW2,Et0/2,,,connected,2026-03-06_0931
SW2,Et0/3,,up,up,2026-03-06_0931
SW2,Et0/3,,,connected,2026-03-06_0931
SW2,Ethernet0/0,unassigned,up,up,2026-03-06_0931
SW2,Ethernet0/0,,up,up,2026-03-06_0931
SW2,Ethernet0/1,unassigned,up,up,2026-03-06_0931
SW2,Ethernet0/1,,up,up,2026-03-06_0931
SW2,Ethernet0/2,unassigned,up,up,2026-03-06_0931
SW2,Ethernet0/2,,up,up,2026-03-06_0931
SW2,Ethernet0/3,,up,up,2026-03-06_0931
