device_name,interface,ip_address,admin_status,line_status,snapshot_id,created_at
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-03_1754,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-03_1951,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-05_1918,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-16_1414,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-03_1940,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-02_2127,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-06_0931,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-04_1124,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-16_1440,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-04_1115,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-02_2038,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-05_1615,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-02_1652,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-05_1627,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-02_1810,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-03_1751,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-02_1717,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-03_1746,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-02_1829,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-05_1559,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-04_1109,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-02_2246,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-03_1944,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-02_2133,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-03_2009,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-02_2110,
R3,Ethernet0/0,10.1.13.3,up,up,2026-03-06_0246,
R3,Ethernet0/1,,up,up,2026-03-04_1109,
R3,Ethernet0/1,,up,up,2026-03-06_0246,
R3,Ethernet0/1,,up,up,2026-03-04_1115,
R3,Ethernet0/1,,up,up,2026-03-02_2127,
R3,Ethernet0/1,,up,up,2026-03-03_2009,
R3,Ethernet0/1,,up,up,2026-03-02_2038,
R3,Ethernet0/1,,up,up,2026-03-04_1124,
R3,Ethernet0/1,,up,up,2026-03-05_1559,
R3,Ethernet0/1,,up,up,2026-03-02_2133,
