device_name,command,snapshot_id,row_count
R1,show lldp neighbors,2026-03-27_1221,1
R3,show lldp neighbors detail,2026-03-27_1221,1
R3,show cdp neighbors detail,2026-03-27_1221,1
R3,show lldp neighbors,2026-03-27_1221,1
R3,show cdp neighbors,2026-03-27_1221,1
R4,show cdp neighbors detail,2026-03-27_1221,1
R4,show cdp neighbors,2026-03-27_1221,1
SW1,show cdp neighbors,2026-03-27_1221,1
SW1,show cdp neighbors detail,2026-03-27_1221,1
SW2,show cdp neighbors detail,2026-03-27_1221,1
SW2,show cdp neighbors,2026-03-27_1221,1
R1,show lldp neighbors,2026-03-21_1850,1
R3,show cdp neighbors detail,2026-03-21_1850,1
R3,show cdp neighbors,2026-03-21_1850,1
R3,show lldp neighbors,2026-03-21_1850,1
R3,show lldp neighbors detail,2026-03-21_1850,1
R4,show cdp neighbors,2026-03-21_1850,1
R4,show cdp neighbors detail,2026-03-21_1850,1
SW1,show cdp neighbors,2026-03-21_1850,1
SW1,show cdp neighbors detail,2026-03-21_1850,1
SW2,show cdp neighbors detail,2026-03-21_1850,1
SW2,show cdp neighbors,2026-03-21_1850,1
R3,show lldp neighbors,2026-03-21_1840,1
R3,show cdp neighbors,2026-03-21_1840,1
R3,show cdp neighbors detail,2026-03-21_1840,1
R3,show lldp neighbors detail,2026-03-21_1840,1
R4,show cdp neighbors,2026-03-21_1840,1
R4,show cdp neighbors detail,2026-03-21_1840,1
SW1,show cdp neighbors,2026-03-21_1840,1
SW1,show cdp neighbors detail,2026-03-21_1840,1
SW2,show cdp neighbors,2026-03-21_1840,1
SW2,show cdp neighbors detail,2026-03-21_1840,1
R1,show lldp neighbors,2026-03-16_1440,1
R2,show lldp neighbors,2026-03-16_1440,1
R3,show lldp neighbors,2026-03-16_1440,1
R3,show cdp neighbors detail,2026-03-16_1440,1
R3,show lldp neighbors detail,2026-03-16_1440,1
R3,show cdp neighbors,2026-03-16_1440,1
R4,show cdp neighbors detail,2026-03-16_1440,1
R4,show lldp neighbors detail,2026-03-16_1440,1
R4,show cdp neighbors,2026-03-16_1440,1
R4,show lldp neighbors,2026-03-16_1440,1
SW1,show cdp neighbors,2026-03-16_1440,1
SW1,show cdp neighbors detail,2026-03-16_1440,1
