device_name,neighbor_ip,neighbor_as,state
R1,10.1.12.2,65001,
R1,10.1.12.2,65001,
R1,10.1.12.2,65001,
R2,10.1.12.1,65000,
R2,10.1.12.1,65000,
R1,10.1.12.2,65001,
R2,10.1.12.1,65000,
R2,10.1.12.1,65000,
R2,10.1.12.1,65000,
R2,10.1.12.1,65000,
R1,10.1.12.2,65001,
R2,10.1.12.1,65000,
R2,10.1.12.1,65000,
R1,10.1.12.2,65001,
R2,10.1.12.1,65000,
R1,10.1.12.2,65001,
R1,10.1.12.2,65001,
R1,10.1.12.2,65001,
R1,10.1.12.2,65001,
R2,10.1.12.1,65000,
R2,10.1.12.1,65000,
R1,10.1.12.2,65001,
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Idle
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Idle
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Established
R4,2.2.2.2,65001,Established
R3,1.1.1.1,65000,Established
R3,1.1.1.1,65000,Established
R4,2.2.2.2,65001,Idle
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R3,1.1.1.1,65000,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R4,2.2.2.2,65001,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R4,2.2.2.2,65001,0
R4,2.2.2.2,65001,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R3,1.1.1.1,65000,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R2,4.4.4.4,65001,Idle
R2,10.1.12.1,65000,0
R3,1.1.1.1,65000,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R4,2.2.2.2,65001,Idle
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
R3,1.1.1.1,65000,0
R4,2.2.2.2,65001,0
