device_name,neighbor_ip,neighbor_as
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R3,1.1.1.1,65000
R4,2.2.2.2,65001
R4,2.2.2.2,65001
R3,1.1.1.1,65000
R3,1.1.1.1,65000
