device_name,local_interface,destination_device,destination_interface,discovery_protocol,snapshot_id,created_at
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1917,
SW1,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2139,
R4,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2224,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2250,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_2210,
R4,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2127,
SW1,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2224,
SW1,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2250,
SW1,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_2210,
R4,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2139,
SW2,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2224,
SW2,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2250,
R3,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2224,
R3,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_2210,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2304,
SW2,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_2210,
R3,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2250,
R3,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2139,
SW2,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2139,
SW2,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1859,
SW1,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2127,
R3,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2127,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_2148,
SW2,Eth 0/0,R2,Gig 2,CDP,2026-03-29_2127,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1859,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1923,
SW1,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2139,
R3,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2139,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1859,
SW2,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1859,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1923,
SW1,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2224,
SW1,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2250,
SW2,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2304,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2304,
SW1,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_2210,
R3,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1859,
SW2,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2139,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2139,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1917,
SW2,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2250,
SW2,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_2210,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2224,
SW2,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1917,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2250,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_2210,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_2148,
R3,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_2210,
SW1,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2127,
R3,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2250,
SW1,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-30_1859,
R4,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2127,
SW2,Ethernet0/0,R2,GigabitEthernet2,CDP,2026-03-29_2127,
R3,Et0/0,R1,512,LLDP,2026-03-05_1627,
R2,ge-0/0/2,R4.local,to_R2_Gi2,LLDP,2026-03-02_1829,
R2,ge-0/0/0,WAN,Ethernet1/0,LLDP,2026-03-02_1829,
