device_name,neighbor_ip,neighbor_as,state,snapshot_id,created_at
R1,10.1.12.2,65001,,2026-03-03_1754,
R2,10.1.12.1,65000,,2026-03-03_1944,
R1,10.1.12.2,65001,,2026-03-03_1944,
R2,10.1.12.1,65000,,2026-03-03_1754,
R2,10.1.12.1,65000,,2026-03-02_2127,
R1,10.1.12.2,65001,,2026-03-02_2110,
R1,10.1.12.2,65001,,2026-03-03_1940,
R2,10.1.12.1,65000,,2026-03-03_1746,
R2,10.1.12.1,65000,,2026-03-03_1751,
R2,10.1.12.1,65000,,2026-03-03_1951,
R2,10.1.12.1,65000,,2026-03-03_2009,
R2,10.1.12.1,65000,,2026-03-02_2246,
R2,10.1.12.1,65000,,2026-03-02_2133,
R1,10.1.12.2,65001,,2026-03-02_2127,
R2,10.1.12.1,65000,,2026-03-02_2110,
R1,10.1.12.2,65001,,2026-03-03_1951,
R1,10.1.12.2,65001,,2026-03-03_1751,
R2,10.1.12.1,65000,,2026-03-03_1940,
R1,10.1.12.2,65001,,2026-03-03_1746,
R1,10.1.12.2,65001,,2026-03-02_2133,
R1,10.1.12.2,65001,,2026-03-02_2246,
R1,10.1.12.2,65001,,2026-03-03_2009,
R3,1.1.1.1,65000,Established,2026-03-05_1627,
R4,2.2.2.2,65001,Idle,2026-03-21_1850,
R3,1.1.1.1,65000,Established,2026-03-03_1940,
R3,1.1.1.1,65000,Established,2026-03-06_0246,
SW1,1.1.1.1,65000,Established,2026-03-30_1859,
SW1,2.2.2.2,65001,Established,2026-03-30_1859,
R4,2.2.2.2,65001,Established,2026-03-02_2127,
R4,2.2.2.2,65001,Established,2026-03-04_1124,
R4,1.1.1.1,65000,Established,2026-03-29_2304,
R4,2.2.2.2,65001,Established,2026-03-29_2304,
SW1,2.2.2.2,65001,Established,2026-03-30_1923,
R3,1.1.1.1,65000,Established,2026-03-03_1951,
R4,2.2.2.2,65001,Established,2026-03-05_1615,
R3,1.1.1.1,65000,Established,2026-03-29_2139,
R3,1.1.1.1,65000,Established,2026-03-05_1918,
R4,2.2.2.2,65001,Established,2026-03-02_2038,
R4,1.1.1.1,65000,Established,2026-03-30_2148,
R4,2.2.2.2,65001,Established,2026-03-30_2148,
R3,1.1.1.1,65000,Established,2026-03-04_1115,
R4,2.2.2.2,65001,Established,2026-03-02_2110,
R3,1.1.1.1,65000,Established,2026-03-03_1751,
R4,2.2.2.2,65001,Established,2026-03-02_1717,
R4,2.2.2.2,65001,Established,2026-03-05_1559,
R3,1.1.1.1,65000,Established,2026-03-03_1746,
R3,1.1.1.1,65000,Established,2026-03-29_2127,
R4,2.2.2.2,65001,Idle,2026-03-21_1840,
SW2,2.2.2.2,65001,Established,2026-03-29_2250,
R4,2.2.2.2,65001,Established,2026-03-16_1414,
R3,1.1.1.1,65000,Established,2026-03-06_0931,
R4,2.2.2.2,65001,Established,2026-03-03_1944,
R3,1.1.1.1,65000,Established,2026-03-02_1652,
