Protocol Interface                 Address
IP       GigabitEthernet1          10.1.12.1(8)
IP       GigabitEthernet1          227.0.0.0(3)
IP       GigabitEthernet2          10.1.24.4(8)
IP       GigabitEthernet2          227.0.0.0(3)
IP       GigabitEthernet4          192.168.100.10(8)
IP       GigabitEthernet4          192.168.100.50(8)
IP       GigabitEthernet4          192.168.100.202(8)
IP       GigabitEthernet4          192.168.100.209(8)
IP       GigabitEthernet4          192.168.100.254(8)
IP       GigabitEthernet4          227.0.0.0(3)
