Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.1.12.1               6   5000.0001.0001  ARPA   GigabitEthernet1
Internet  10.1.12.2               -   5000.0002.0000  ARPA   GigabitEthernet1
Internet  10.1.24.2               -   5000.0002.0001  ARPA   GigabitEthernet2
Internet  10.1.24.4             215   aabb.cc00.4000  ARPA   GigabitEthernet2
Internet  192.168.100.10          0   107c.61b2.a8f9  ARPA   GigabitEthernet4
Internet  192.168.100.50          0   c84d.4423.3ec9  ARPA   GigabitEthernet4
Internet  192.168.100.102         -   5000.0002.0003  ARPA   GigabitEthernet4
Internet  192.168.100.202       111   586d.679b.d68d  ARPA   GigabitEthernet4
Internet  192.168.100.209       199   4233.a108.64fd  ARPA   GigabitEthernet4
Internet  192.168.100.254         0   9483.c446.89ee  ARPA   GigabitEthernet4
