Processor Pool Total: 2115141856 Used:  255817016 Free: 1859324840
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    3149400 Used:    3148568 Free:        832

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
   0   0  246374672   62446424  159262952          0          0 *Init*          
 668   0   34436408      51864   34760544          0          0 SBC main process
  84   0    9228864     297232    7999800          0          0 IOSD ipc task   
   0   0   31937648   24218552    6532656    8618691          0 *Dead*          
 172   0    7979656      20544    6102104          0          0 CWAN OIR Handler
 538   0    4317040     244088    4114896     849828          0 EEM ED Syslog   
 693 32132    2600608     727008    1903688          0          0 iosp_vty_100001_
 571   0    1977624     130544    1877024          0          0 EEM Server      
 508   0     696632          0     738576          0          0 QOS_MODULE_MAIN 
 527   0     622424       6304     612560          0          0 OSPF-1 Router   
 683   0     465096      32120     502896          0          0 DHCP Client     
 230   0     831872     341728     489648          0          0 mDNS            
   6   0     740848      83632     462560          0          0 RF Slave Main Th
 539   0     391928       9464     424408      72316          0 EEM ED Generic  
 143   0     476680     113856     417200          0          0 SAMsgThread     
   0   0          0          0     395392          0          0 *MallocLite*    
   1   0     361024          0     390968          0          0 Chunk Manager   
 484   0     305856       2000     357800          0          0 Crypto IKEv2    
 560   0     558368          0     330136          0          0 BGP Router      
 296   0     299696      94640     270224          0          0 IP Background   
 241 435    3099664    2904632     254632          0          0 SSH Process     
 164   0     218400        448     247896          0          0 VNM DSPRM MAIN  
 511   0       1824          0     247768          0          0 http client proc
 368   0       1824          0     247768          0          0 COPS            
 572   0     270208     128456     232792          0          0 Call Home proces
 669   0     167616        448     221112          0          0 MRIB Process    
 685   0     206408       1992     216696          0          0 ONEP Network Ele
  10   0   20870848   20924008     216072   19949694   19982026 Pool Manager    
 103   0    1923056    1762232     213776          0          0 DBAL EVENTS     
 331   0     156136        448     185632          0          0 RUDPV1 Main Proc
 392   0      81520        448     183016          0          0 AN              
 478   0    1110608     928752     182000          0          0 Crypto CA       
 512   0     131208          0     173152          0          0 BGP Task        
 332   0     139656          0     169600          0          0 L2FIB Event Disp
 268   0      65632          0     167576          0          0 st_pw_oam       
   7   0      65632          0     167576          0          0 EDDRI_MAIN      
 224   0      98736          0     152680          0          0 IPAM Manager    
 688   0      48928       2712     150984          0          0 LICENSE AGENT   
 462   0      43640        448     145136          0          0 STUN_APP        
 459   0     102224          0     132168          0          0 MMA DB TIMER    
 261   0     100688          0     130632          0          0 radius radsec cl
 205   0      98736          0     128800          0          0 ACCT Periodic Pr
 454   0      99184        448     128680          0          0 Timer Library   
 425   0      98736          0     128680          0          0 AAA HA cleanup  
 337   0      65576          0     119520          0          0 ATM HA          
 319   0      15336          0     116576          0          0 HTTP CORE       
 297   0      69224       3648     107520          0          0 IP Connected Rou
 452   0      68264        448     105760          0          0 Crypto WUI      
 595   0          0          0     105544          0          0 PnP-Monitor     
 182   0       3392        176     105336          0          0 SKA IPC process 
 564   0      13864      10808     105000          0          0 WSMAN Process   
 181   0       2696        448     104192          0          0 Ethernet CFM    
 463   0       1824          0     103768          0          0 STUN_TEST       
 471   0     528488     522984     103640          0          0 TPS IPC Process 
 178   0          0          0     103192          0          0 SEP_webui_wsma_h
 234   0          0          0     103192          0          0 SEP_webui_wsma_h
 510   0        432          0     102376          0          0 RPMS_PROC_MAIN  
 167   0          0          0     102320          0          0 WSMA_NOTIFY     
 492   0          0          0     101944          0          0 Crypto ACL      
 394   0          0          0     101944          0          0 AN CONFIG DOWNLO
 509   0          0          0     101944          0          0 VoIP AAA        
 200   0        448        448     101944          0          0 SNMP DBAL WRAPPE
 360   0        448        448     101944          0          0 SR Policy Mgr   
 689   0          0          0     101944          0          0 NETCONF         
  85   0       4192       4192     101944          0          0 IOSD chasfs task
 393   0          0          0     101944          0          0 AN HELPER       
 388   0        448        448     101944          0          0 TLSCLIENT_PROCES
 489   0      44880        560      98264          0          0 Crypto IKMP     
 372   0      67920          0      97864          0          0 DHCP SIP        
 227   0      66064          0      96008          0          0 IP ARP Retry Age
 491   0      44864       6048      92200          0          0 IPSEC key engine
 295   0      48384        712      91152          0          0 IP RIB Update   
 391   0      55928        448      85424          0          0 HTTP Process    
 326   0      60048      24056      82376          0          0 CEF: IPv4 proces
 226   0      33624          0      81728          0          0 IP ARP Adjacency
 562   0      26656        448      80152          0          0 RBM CORE        
 439   0      49360       6136      73120          0          0 Diameter Base pr
 502   0      18472          0      72416          0          0 CCVPM_HTSP      
 470   0      70488      69440      71544          0          0 AAA Proxy       
 174   0      41984        152      70400          0          0 ACE event       
 386   0      38912        448      68408          0          0 SCTP Main Proces
 215   0      36976          0      66920          0          0 VRRS Main thread
 507   0      12992        448      66616          0          0 Sip MPA         
 128   0     109744      14416      65968          0          0 IOSXE-RP Punt Se
 577   0     314688     302816      65312          0          0 EEM ED CLI      
 517   0      35040        448      64536          0          0 Dialog Manager  
 287   0      17808       7624      64152          0          0 CEF background p
 575   0      23920       1808      64056          0          0 EEM Policy Direc
